concelho;IndRural;pop.res;Perc.pop.Act;Perc.criancas;Perc.idosos;TxDesemp;Hospitais1000;CentrosSaude1000;Rendim;Escolaridade;PropMulheres;HabCentrosSaude;N.Cxs.MB;Ano
Sao Bras de Alportel;0;10553;0,64038662;0,143655832;0,215957548;0,06;0;0,094759784;905,3;7,69;0,512;10614,5;13;2016
Sao Joao da Madeira;0;21499;0,688962277;0,134424857;0,176612866;0,072;0,046513791;0,046513791;935,3;7,91;0,531;21736;43;2016
Sao Joao da Pesqueira;0,7;7418;0,650040442;0,121865732;0,228093826;0,069;0;0,134807226;844,3;5,69;0,51;7852;8;2016
Sao Pedro do Sul;0,52;16115;0,61073534;0,115048092;0,274216568;0,077;0;0,062053987;764,3;6,26;0,533;4196,9;18;2016
Sardoal;0,39;3829;0,639070253;0,103160094;0,257769653;0,078;0;0,261164795;789,3;6,81;0,516;3945,5;3;2016
Satao;0,66;11980;0,652504174;0,1139399;0,233555927;0,085;0;0,083472454;730,3;6,18;0,524;4143,5;8;2016
Seia;0,41;23419;0,632477903;0,102096588;0,265425509;0,071;0,042700371;0,042700371;806,3;6,5;0,528;1230,6;25;2016
Seixal;0;164181;0,66502214;0,158849075;0,176128785;0,067;0;0,006090839;1134,3;8,37;0,524;159261;133;2016
Sernancelhe;0,7;5511;0,630919978;0,109417529;0,259662493;0,075;0;0,181455271;749,3;5,93;0,517;5677;4;2016
Serpa;0,16;15097;0,633503345;0,115784593;0,250712062;0,1;0,066238325;0,066238325;799,3;6,19;0,512;1735,9;13;2016
Serta;0,61;15226;0,600288979;0,118678576;0,281032445;0,071;0;0,065677131;785,3;6,12;0,528;1441,1;13;2016
Sesimbra;0;50668;0,663278598;0,171054709;0,165666693;0,057;0;0,039472645;900,3;8,17;0,511;24868,8;44;2016
Setubal;0;117973;0,636365948;0,160112907;0,203521145;0,084;0,033906063;0,008476516;1106,3;8,25;0,525;121060,5;126;2016
Sever do Vouga;0,63;11880;0,639814815;0,115151515;0,24503367;0,065;0;0,084175084;913,3;6,86;0,519;1760,3;12;2016
Silves;0,17;36555;0,627356039;0,140692108;0,231951853;0,063;0,027356039;0,027356039;888,3;7,17;0,507;4621,3;39;2016
Sines;0,07;13748;0,6700611;0,138711085;0,191227815;0,115;0;0,072737853;1422,3;7,61;0,51;7110;25;2016
Sintra;0;381728;0,67438595;0,167980866;0,157633184;0,064;0,010478665;0,015717998;1143,3;8,57;0,525;54104,7;342;2016
Sobral de Monte Agraco;0,36;10207;0,668266876;0,155971392;0,175761732;0,05;0;0,09797198;850,3;7,21;0,51;10171;11;2016
Soure;0,41;18129;0,600474378;0,111147885;0,288377737;0,064;0;0,05516024;831,3;6,5;0,529;2395,7;17;2016
Sousel;0,62;4718;0,584993641;0,110852056;0,304154303;0,072;0;0,211954218;760,3;6,07;0,525;1264,3;7;2016
Tabua;0,71;11742;0,641032192;0,125106455;0,233861352;0,074;0;0,085164367;749,3;6,23;0,524;4020,8;13;2016
Tabuaco;0,72;6162;0,656929568;0,100292113;0,242778319;0,12;0;0,162284972;857,3;5,91;0,525;6355,5;4;2016
Tarouca;0,47;7809;0,666538609;0,131130747;0,202330644;0,116;0;0,12805737;806,3;6,23;0,518;8043;6;2016
Tavira;0,37;25463;0,609865295;0,132702352;0,257432353;0,059;0;0,03927267;850,3;7,23;0,523;3719,6;50;2016
Terras de Bouro;0,8;6712;0,626489869;0,114868892;0,25864124;0,113;0;0,148986889;880,3;6,08;0,522;3605,3;7;2016
Tomar;0,55;38382;0,620421031;0,113412537;0,266166432;0,062;0,026053879;0,026053879;905,3;7,31;0,529;40497;41;2016
Tondela;0,33;27775;0,605976598;0,10829883;0,285724572;0,052;0,0360036;0,0360036;911,3;6,36;0,528;2887,4;31;2016
Torre de Moncorvo;0,5;8037;0,566256066;0,082120194;0,35162374;0,105;0;0,124424537;1038,3;5,78;0,525;1711;6;2016
Torres Novas;0,35;35663;0,627036424;0,128620699;0,244342876;0,059;0,028040266;0,028040266;933,3;7,56;0,525;36701;48;2016
Torres Vedras;0,04;78961;0,651004926;0,146591355;0,202403718;0,064;0,02532896;0,01266448;911,3;7,36;0,52;79528,5;91;2016
Trancoso;0,55;9378;0,603433568;0,093196844;0,303369588;0,05;0;0,106632544;816,3;6,09;0,527;1644,8;10;2016
Trofa;0,04;38335;0,705830181;0,138202687;0,155967132;0,102;0,026085822;0,026085822;947,3;7,24;0,523;19510,8;42;2016
Vagos;0,19;22864;0,654916025;0,138820854;0,206263121;0,047;0;0,043736879;882,3;6,78;0,526;3270,1;23;2016
Vale de Cambra;0,17;22017;0,654357996;0,116364627;0,229277377;0,047;0;0,045419449;1005,3;6,79;0,52;5709,8;27;2016
Valenca;0,37;13609;0,642662944;0,122125064;0,235211992;0,074;0;0,073480785;842,3;6,67;0,536;14100;17;2016
Valongo;0;95138;0,689787467;0,153808152;0,156404381;0,116;0,021022094;0,021022094;894,3;7,76;0,526;18847,8;78;2016
Valpacos;0,38;15748;0,571374143;0,092583185;0,336042672;0,088;0;0,063500127;773,3;5,2;0,535;16815;14;2016
Vendas Novas;0,06;11602;0,598862265;0,129805206;0,271332529;0,057;0;0,086192036;938,3;6,85;0,527;5927,5;15;2016
