concelho;IndRural;pop.res;Perc.pop.Act;Perc.criancas;Perc.idosos;TxDesemp;Hospitais1000;CentrosSaude1000;Rendim;Escolaridade;PropMulheres;HabCentrosSaude;N.Cxs.MB;Ano
Entroncamento;0;20515;0,661808433;0,154959786;0,183231782;0,058;0,048744821;0,048744821;987,3;8,84;0,53;20269,5;19;2016
Espinho;0;29882;0,646041095;0,119135265;0,23482364;0,142;0,033464962;0,033464962;895,3;7,5;0,531;31628;42;2016
Esposende;0;34083;0,689874718;0,153566294;0,156558988;0,058;0,05868028;0,02934014;828,3;7,36;0,526;17165;38;2016
Estarreja;0,1;26364;0,659194356;0,134729176;0,206076468;0,068;0,037930511;0,037930511;995,3;6,98;0,522;3849,1;27;2016
Estremoz;0,4;13404;0,60325276;0,108251268;0,288495971;0,087;0;0,074604596;847,3;6,73;0,526;1782;17;2016
evora;0,14;53963;0,644886311;0,139373274;0,215740415;0,082;0,037062432;0,018531216;986,3;8,39;0,53;4703;92;2016
Fafe;0,19;49465;0,688951784;0,136338825;0,17470939;0,094;0,020216315;0,020216315;755,3;6,63;0,531;16876,7;37;2016
Faro;0,19;61117;0,645156012;0,151790827;0,20305316;0,074;0,032724119;0,01636206;988,3;8,73;0,524;7985,8;118;2016
Felgueiras;0;57329;0,717525162;0,145476112;0,136998727;0,053;0;0,017443179;754,3;6,53;0,521;6457,8;43;2016
Ferreira do Alentejo;0,38;8028;0,629048331;0,120079721;0,250871948;0,092;0;0,124564026;842,3;6,15;0,517;918,5;10;2016
Ferreira do Zezere;0,73;8230;0,610935601;0,116038882;0,273025516;0,041;0;0,121506683;797,3;5,86;0,528;8598;7;2016
Figueira da Foz;0,36;60518;0,637413662;0,123863974;0,238722364;0,086;0,016524009;0,016524009;1007,3;7,56;0,53;4776,2;73;2016
Figueira de Castelo Rodrigo;0,5;5956;0,571692411;0,111820013;0,316487576;0,07;0;0,167897918;763,3;5,75;0,52;1042,2;7;2016
Figueiro dos Vinhos;0,37;5834;0,588275626;0,0992458;0,312478574;0,107;0;0,171408982;820,3;5,99;0,532;1024,6;6;2016
Fornos de Algodres;0,67;4809;0,620503223;0,099604907;0,279891869;0,064;0;0,207943439;726,3;5,67;0,541;4979;4;2016
Freixo de Espada à Cinta;0,38;3526;0,581678956;0,10947249;0,308848554;0,121;0;0,283607487;745,3;5,28;0,53;941,1;3;2016
Fronteira;0,39;3121;0,610701698;0,119192566;0,270105735;0,096;0;0,320410125;813,3;6,26;0,537;848,5;3;2016
Fundao;0,54;27813;0,611189012;0,114694567;0,27411642;0,091;0,03595441;0,03595441;811,3;6,51;0,523;1212,8;35;2016
Gaviao;0,58;3694;0,550351922;0,079859231;0,369788847;0,097;0;0,270709258;794,3;5,28;0,531;685,4;6;2016
Gois;0,49;4001;0,584353912;0,103224194;0,312421895;0,075;0;0,249937516;754,3;5,6;0,539;845,9;4;2016
Golega;0,35;5615;0,621193232;0,116117542;0,262689225;0,055;0;0,17809439;869,3;6,98;0,54;5452;6;2016
Gondomar;0,01;166590;0,6878264;0,139312084;0,172861516;0,119;0;0,024011045;883,3;7,62;0,524;16826,6;107;2016
Gouveia;0,7;13192;0,577092177;0,094906004;0,328001819;0,075;0;0,075803517;796,3;6,11;0,543;1272,2;17;2016
Grândola;0,27;14772;0,621107501;0,125710804;0,253181695;0,051;0;0,06769564;843,3;6,37;0,483;2979,1;18;2016
Guarda;0,37;40406;0,656635153;0,12639212;0,216972727;0,076;0,049497599;0,0247488;889,3;8,03;0,526;2492,4;63;2016
Guimaraes;0,01;155214;0,707474841;0,138885668;0,153639491;0,093;0,006442718;0,012885436;839,3;7,12;0,518;17569,9;164;2016
Idanha-a-Nova;0,74;8804;0,490004543;0,096547024;0,413448433;0,101;0;0,113584734;801,3;4,96;0,526;460,2;10;2016
Ílhavo;0;38320;0,676174322;0,143502088;0,180323591;0,07;0;0,026096033;973,3;7,88;0,527;12863,3;30;2016
Lagoa;0,09;22755;0,65264777;0,149725335;0,197626895;0,091;0;0,043946385;946,3;7,7;0,514;3815,3;33;2016
Lagos;0,17;30746;0,644018734;0,154426592;0,201554674;0,074;0,032524556;0,032524556;870,3;8,02;0,523;5155,4;48;2016
Lamego;0,33;25616;0,668605559;0,122267333;0,209127108;0,146;0,039038101;0,039038101;837,3;6,94;0,524;2961,7;23;2016
Leiria;0,09;125641;0,670712586;0,142055539;0,187231875;0,055;0,023877556;0,015918371;954,3;7,9;0,521;4091,6;152;2016
Lisboa;0;506892;0,570318727;0,149100795;0,280580479;0,094;0,067075432;0,033537716;1422,3;9,55;0,543;25853,2;1388;2016
Loule;0,29;69342;0,646246142;0,152043495;0,201710363;0,073;0,014421274;0,014421274;939,3;7,61;0,519;5860,3;106;2016
Loures;0;205283;0,640856768;0,156311044;0,202832188;0,074;0,009742648;0,009742648;1076,3;8,17;0,526;103012,5;194;2016
Lourinha;0,13;25600;0,657578125;0,148007813;0,194414063;0,058;0;0,0390625;839,3;6,89;0,518;25760;34;2016
Lousa;0,18;17234;0,661773239;0,155390507;0,182836254;0,071;0;0,058024835;878,3;7,66;0,517;8792;15;2016
Lousada;0;47126;0,719942282;0,159932946;0,120124772;0,083;0;0,021219709;738,3;6,48;0,517;11870,1;29;2016
Macao;0,52;6746;0,552179069;0,078268604;0,369552327;0,063;0;0,148235992;787,3;5,77;0,526;7309;7;2016
Macedo de Cavaleiros;0,43;14979;0,599773016;0,101608919;0,298618065;0,096;0,066760131;0,066760131;825,3;6,46;0,53;2621;14;2016
Mafra;0,05;81580;0,6607747;0,183586663;0,155638637;0,051;0;0,012257906;873,3;8,33;0,516;77452;79;2016
Maia;0;135748;0,686883048;0,156112797;0,157004155;0,101;0;0,022099773;1109,3;8,64;0,526;19376,2;159;2016
Mangualde;0,4;19271;0,628145919;0,128898345;0,242955737;0,086;0;0,051891443;872,3;6,69;0,519;19850,5;21;2016
Manteigas;0,17;3219;0,637775707;0,086362224;0,275862069;0,112;0;0,310655483;813,3;6,17;0,53;1140,8;3;2016
Marco de Canaveses;0;52594;0,703312165;0,154656425;0,14203141;0,117;0,019013576;0,019013576;824,3;6,42;0,516;7644,9;38;2016
Marinha Grande;0;38573;0,649988334;0,142768258;0,207243409;0,069;0,02592487;0,02592487;1084,3;7,68;0,525;7746,7;42;2016
Marvao;0,86;3268;0,577111383;0,099143207;0,32374541;0,061;0;0,305997552;756,3;5,89;0,509;438,2;4;2016
Matosinhos;0;173748;0,676410664;0,136335382;0,187253954;0,1;0,017266386;0,023021848;1085,3;8,24;0,53;43933,6;232;2016
Mealhada;0,2;20156;0,647995634;0,128448105;0,223556261;0,054;0,049613018;0,049613018;872,3;7,46;0,526;3404,2;33;2016
Meda;0,53;4835;0,558428128;0,091209928;0,350361944;0,041;0;0,206825233;768,3;5,48;0,527;5169;5;2016
Melgaco;0,47;8614;0,542488971;0,087648015;0,369863014;0,04;0;0,116090086;799,3;5,53;0,561;9191;8;2016
Mertola;0,61;6608;0,555690073;0,093674334;0,350635593;0,103;0;0,151331719;806,3;5,5;0,515;3612,8;5;2016
Mesao Frio;0,04;4133;0,661746915;0,127510283;0,210742802;0,161;0;0,241954996;771,3;5,83;0,538;4415;3;2016
Mira;0,1;12136;0,626483191;0,12030323;0,253213579;0,077;0;0,082399473;845,3;6,76;0,529;2075,6;14;2016
Miranda do Corvo;0,42;12883;0,665372972;0,11697586;0,217651168;0,059;0;0,077621672;794,3;6,94;0,521;6556,3;11;2016
Miranda do Douro;0,7;7176;0,586259755;0,09099777;0,322742475;0,058;0;0,1393534;822,3;6,28;0,513;1871,3;9;2016
Mirandela;0,5;22561;0,62510527;0,111785825;0,263108905;0,116;0,088648553;0,044324276;842,3;6,84;0,53;5946,4;25;2016
Mogadouro;0,59;8884;0,570688879;0,092863575;0,336447546;0,092;0;0,112561909;797,3;5,96;0,515;1900;6;2016
Moimenta da Beira;0,72;9904;0,633380452;0,125605816;0,241013732;0,106;0;0,100969305;784,3;6,34;0,523;5100,3;8;2016
Moita;0;65196;0,652616725;0,157801092;0,189582183;0,104;0;0,015338364;930,3;7,54;0,527;66090,5;46;2016
Moncao;0,35;18547;0,612066642;0,100771014;0,287162344;0,052;0;0,053917076;788,3;6,27;0,548;9617;16;2016
Monchique;0,2;5514;0,569822271;0,090134204;0,340043526;0,091;0;0,181356547;794,3;6,11;0,512;1993,8;6;2016
Mondim de Basto;0,56;7196;0,665508616;0,121317399;0,213173986;0,112;0;0,138966092;754,3;5,83;0,52;2497,8;5;2016
Monforte;0,58;3134;0,602744097;0,142948309;0,254307594;0,11;0,319081047;0,319081047;869,3;5,7;0,542;830,1;6;2016
Montalegre;0,71;9638;0,578231998;0,081655945;0,340112056;0,077;0;0,103755966;792,3;5,41;0,526;1048,3;10;2016
Montemor-o-Novo;0,34;16443;0,597701149;0,11050295;0,291795901;0,063;0,060816153;0,060816153;862,3;6,39;0,52;1930,7;24;2016
Montemor-o-Velho;0,42;25707;0,643210021;0,123740615;0,233049364;0,075;0;0,038899911;814,3;7,03;0,52;3271,6;20;2016
Montijo;0,11;54877;0,662955336;0,170053028;0,166991636;0,082;0,01822257;0,01822257;940,3;8,15;0,517;51777;56;2016
Mora;0,49;4534;0,584472872;0,098808999;0,31671813;0,072;0;0,220555801;811,3;5,7;0,52;988,8;7;2016
Mortagua;0,58;9212;0,610182371;0,10453756;0,285280069;0,048;0;0,10855406;891,3;6,12;0,532;4791,3;8;2016
Moura;0,25;14333;0,622967976;0,154817554;0,22221447;0,154;0;0,069769064;868,3;6,25;0,517;1886,3;21;2016
Mourao;0,34;2553;0,634547591;0,142185664;0,223266745;0,149;0;0,391696044;791,3;5,93;0,5;884,8;6;2016
Murca;0,64;5676;0,601127555;0,117688513;0,281183932;0,108;0;0,176180409;768,3;5,78;0,523;1487,5;4;2016
Murtosa;0;10395;0,639249639;0,152573353;0,208177008;0,058;0;0,096200096;806,3;6,31;0,519;3522,3;10;2016
Nazare;0,11;14455;0,643514355;0,140159114;0,216326531;0,062;0,069180214;0,069180214;838,3;7,13;0,528;15086;22;2016
Nelas;0,2;13518;0,619026483;0,128865217;0,2521083;0,077;0;0,07397544;937,3;6,76;0,529;13994;16;2016
Nisa;0,52;6737;0,552026124;0,092771263;0,355202612;0,071;0;0,148434021;793,3;5,83;0,528;1235,3;8;2016
obidos;0,4;11617;0,628131187;0,136437979;0,235430834;0,061;0;0,086080744;922,3;6,87;0,517;11778;18;2016
Odemira;0,44;25283;0,612427323;0,117707551;0,269865127;0,071;0;0,039552268;822,3;6,14;0,502;2005,2;41;2016
Odivelas;0;153651;0,650083631;0,157688528;0,192227841;0,069;0;0,013016511;906,3;8,39;0,529;72853,5;119;2016
Oeiras;0;173149;0,616157183;0,1573096;0,226533217;0,061;0,017326118;0,011550745;1538,3;10,04;0,538;86238,8;280;2016
Oleiros;0,58;5315;0,55070555;0,066039511;0,383254939;0,057;0;0,188146754;812,3;5,01;0,531;633,1;5;2016
Olhao;0;45214;0,648206308;0,161299597;0,190494095;0,073;0,022117043;0,022117043;893,3;7,53;0,521;11319,8;44;2016
Oliveira de Azemeis;0,03;67164;0,683178488;0,123458996;0,193362516;0,049;0,014888929;0,014888929;938,3;6,93;0,521;9804,9;53;2016
Oliveira de Frades;0,32;10075;0,647047146;0,13955335;0,213399504;0,056;0;0,099255583;999,3;6,76;0,528;3419,8;15;2016
Oliveira do Bairro;0;23564;0,648786284;0,146155152;0,205058564;0,054;0,042437617;0,042437617;917,3;7,14;0,527;3852,5;24;2016
